# SOURMASH-MANIFEST-VERSION: 1.0,,,,,,,,,,
internal_location,md5,md5short,ksize,moltype,num,scaled,n_hashes,with_abundance,name,filename
ERR10048379.sig,68f768fc86cd94dcad023800dde08981,68f768fc,51,DNA,0,1000,18070553,1,ERR10048379,-
ERR10048380.sig,d5bdd1e603247054f825e7959a967602,d5bdd1e6,21,DNA,0,1000,18004378,1,ERR10048380,-
ERR10048380.sig,a1c713fc0f3bd87616d826a36fefc16d,a1c713fc,31,DNA,0,1000,20539672,1,ERR10048380,-
ERR10048380.sig,71ff7ce4a08c7d08c72caf3b39af05df,71ff7ce4,51,DNA,0,1000,19178325,1,ERR10048380,-
ERR10048381.sig,2b300e57ae296a52588727c285573055,2b300e57,21,DNA,0,1000,18129133,1,ERR10048381,-
ERR10048381.sig,c35df01b96b736d1d5fac51d0a396c9f,c35df01b,31,DNA,0,1000,20465862,1,ERR10048381,-
ERR10048381.sig,59fc3080ffdfe49ceaac4039cb6cd27a,59fc3080,51,DNA,0,1000,19083765,1,ERR10048381,-
ERR10048382.sig,551168ccbe38a21b61eff2e420e9de28,551168cc,21,DNA,0,1000,18590717,1,ERR10048382,-
ERR10048382.sig,d6bf9d9dd0fdf17c0c81c858d6cda6a6,d6bf9d9d,31,DNA,0,1000,21096539,1,ERR10048382,-
ERR10048382.sig,7700ec027f007fe93e33a59b987ea105,7700ec02,51,DNA,0,1000,19640469,1,ERR10048382,-
ERR10048383.sig,45d9c67d22bbcb86eed86a265f01672f,45d9c67d,21,DNA,0,1000,16212531,1,ERR10048383,-
ERR10048383.sig,ba1ad922ca0e29792de323254b5c62e8,ba1ad922,31,DNA,0,1000,18238529,1,ERR10048383,-
ERR10048383.sig,35ada8ac4dfe1090d256c7b021274909,35ada8ac,51,DNA,0,1000,17041698,1,ERR10048383,-
ERR10048384.sig,8fb5e943af94cc8ce040ff995e8c0b97,8fb5e943,21,DNA,0,1000,17479639,1,ERR10048384,-
ERR10048384.sig,79821f9127f1636205bf480df7dad75c,79821f91,31,DNA,0,1000,19815804,1,ERR10048384,-
ERR10048384.sig,d41acd47243ef0409480457af20f17d9,d41acd47,51,DNA,0,1000,18457182,1,ERR10048384,-
